Plant Name,Family,Common Name,Uses,Image File
Centaurea calcitrapa L.,ASTERACEAE,Purple star thistle (Eng.),Plants are considered lithontriptic also used in fistula.,Centaurea_calcitrapa_L..jpg
Centella asiatica (L.) Urban,APIACEAE,Brahma-manduki,"Plants are used as a diuretic and tonic; also used in leprosy.A glycoside, asiaticoside, shown to be active in the treatment of leprosy,",Centella_asiatica_L._Urban.jpg
Centipeda minima (L.) A.Braun & Asch.,ASTERACEAE,"Nakk-chikni, Nagdowana",Powdered leaves and minute seeds used in the preparation of snuff. Infusion of the herb used in ophthalmia. Seeds are considered vermifuge.,Centipeda_minima_L._A.Braun_&_Asch..jpg
Centranthera indica (L.) Gamble,SCROPHULARIACEAE,Undir-kani (Mar.),Used for treatment of eye soaring and used as a febrifuge.,Centranthera_indica_L._Gamble.jpg
Cephaelis ipecacuanha (Brot.) A.Rich.,RUBIACEAE,Ipecac (Eng.),"Rhizomes and roots emetic, diaphoretic, and expectorant, useful in amoebic dysentery. Alkaloids, including emetine and cephaelin, have been isolated.",Cephaelis_ipecacuanha_Brot._A.Rich..jpg
Ceratonia siliqua L.,CAESALPINIACEAE,Kharnub (Punjab),"Pod and husk from seed use as 
antidiarrhoeal (stools in gastroenteritis and colitis).",Ceratonia_siliqua_L..jpg
Ceratophyllum demursum L.,CERATOPHYLLACEAE,Sivara,It is useful in curing biliousness.,Ceratophyllum_demursum_L..jpg
Ceratopteris thaictroides Brong.,PARKERIACEAE,Pan-necha (Local name),Used in skin complaints.,Ceratopteris_thaictroides_Brong..jpg
Cerbera manghas L.,APOCYNACEAE,Dabur (Beng.),Roots are purgative.,Cerbera_manghas_L..jpg
Cereus grandiflorus Mill.,CACTACEAE,Night-Blooming Cereus,It is used as source of the drug named cereus which is used as  cardiac stimulant. Liquid extract is applied in cardiac infections and dropsy.,Cereus_grandiflorus_Mill..jpg
Ceriops tagal (Perr.) C.B.Rob.,RHIZOPHORACEAE,Goran (Beng.),Decoction of the bark is used to stop haemorrhages. Bark is also employed in lotions for malignant ulcers.,Ceriops_tagal_Perr._C.B.Rob..jpg
Ceropegia tuberosa Roxb.,ASCLEPIADACEAE,Bhutumbi (Sanskrit),"Tuber is tonic, digestive and used for treating diarrhea, dysentery.",Ceropegia_tuberosa_Roxb..jpg
Cheiranthus cheiri L.,BRASSICACEAE,Wall Flower (Eng.),"Flowers possess cardiac, emmenagogue and stimulant properties. Seeds are used as diuretic, expectorant,  stomachic and tonic.  A highly active cardiac glycoside, che-rotoxin, obtained from strophanthidin as aglycone, has been segragated from the seeds.",Cheiranthus_cheiri_L..jpg
Chenopodium album L.,CHENOPODIACEAE,Bethu sag,It is laxative and anthelmintic.,Chenopodium_album_L..jpg
Chenopodium ambrosioides L.,CHENOPODIACEAE,"Khatua, Katu ayamoddakam (Mal.)","An essential oil is obtained from the plant which is utilized as in anthelmintic against many forms of intestinal parasites including roundworms, hookworms, and intestinal amoebae.",Chenopodium_ambrosioides_L..jpg
Chenopodium botrys L.,CHENOPODIACEAE,Sokana (Local name),Th plant is employed in catarrh and humoral asthma. It is used as an anthelmintic.,Chenopodium_botrys_L..jpg
Chloranthus elatior Link,CHLORANTHACEAE,Tall Chloranthus (Eng.),The leaves of the plant is having sudorific properties.,Chloranthus_elatior_Link.jpg
Chloris virgata Sw.,POACEAE,Gharaniagas (Rajasthan),A nutritious fodder and decoction used for baths in rheumatism.,Chloris_virgata_Sw..jpg
Chlorophytum arundinaceum Baker,LILIACEAE,Safed musli,Roots used as a tonic.,Chlorophytum_arundinaceum_Baker.jpg
Chloroxylon swietenia DC.,RUTACEAE,"Bhirra, Girya",Used in treating neck pains and other inflamations.,Chloroxylon_swietenia_DC..jpg
Chondrus crispus Stackh.,GIGARTINIACEAE,Irish Moss (Eng.),"Carrageenan is obtained from the alga which is given as intravenous injections for the reduction of serum lipids and prevents the development of atherosclerosis. Carrageenan, also known as- chondrus is employed as sudorific, stimulant, demulcent, and emollient. Also it is used as a pectoral in bronchitis and  cough;In case of irritating diseases of bladder and kidneys it is used. The alga is also considered of possessing anticoagulant properties simil",Chondrus_crispus_Stackh..jpg
Chrozophora plicata A.Juss.,EUPHORBIACEAE,Neelkanthi (Local name),Seeds are cathartic.,Chrozophora_plicata_A.Juss..jpg
Chrozophora rottleri (Geis.) A.Juss.ex Spreng.,EUPHORBIACEAE,"Subali, Khudi-okra (Beng.)",Seeds are cathartic.,Chrozophora_rottleri_Geis._A.Juss.ex_Spreng..jpg
Chrysanthemum coronarium L.,ASTERACEAE,Guldaudi,Flower-heads are used as a substitute for Chamomile an aromatic bitter and stomachic. Bark is purgative.,Chrysanthemum_coronarium_L..jpg
Chrysanthemum indicum L.,ASTERACEAE,Guldaudi,Flower-heads are stomachic and aperient.Leaves are prescribed for migraine.,Chrysanthemum_indicum_L..jpg
Chrysobalanus icaco L.,ROSACEAE,Coco Plum (Eng.),"Bark, roots and leaves are used as an astringent; fruits are used for diarrhoea and other bowel complaints.",Chrysobalanus_icaco_L..jpg
Cicer arietinum L.,FABACEAE,"But, Chana","A prophylactic against deficiency diseases, scurvy in particular germinated gram are being used.",Cicer_arietinum_L..jpg
Cichorium endivia L.,ASTERACEAE,"Kasini, Kashini",Root is demulcent and tonic. Fruits are used in bilious complaints.,Cichorium_endivia_L..jpg
Cichorium intybus L.,ASTERACEAE,"Kasani, Kashini","Dried roots are diuretic, tonic, stomachic, depurative; used in homoeopathy for liver and gall ailments.",Cichorium_intybus_L..jpg
Cicuta virosa L,APIACEAE,Water Hemlock (Eng.),Fruits (Ajmud) are used as an ingredient of stimulant preparations and carminative. It is also useful as  cardiac tonic and emmenagogue and used to treat bronchial and asthamatic troubles.,Cicuta_virosa_L.jpg
Cimicifuga foetida L.,RANUNCULACEAE,Jiunti (Punjab),Roots employed as a nerve sedative in neuralgia and rheumatism and also in dropsy and bronchial diseases.,Cimicifuga_foetida_L..jpg
Cinchona officinalis L.f.,RUBIACEAE,Cinchona (Eng.),Root-bark an important source of quinine; used as a febrifuge.,Cinchona_officinalis_L.f..jpg
Cinnamomum cassia Benth.,LAURACEAE,Chinese Cinnamon (Eng.),As stomachic and carminative the barks are employed. The immature fruits are a source of Cassia Buds which is a source of an essential oil called Oil of Cassia.,Cinnamomum_cassia_Benth..jpg
Cinnamomum glanduliferum (Wall.) Meissn.,LAURACEAE,Gunserai (Assam),D-camphor a substitute for sassafras is obtained from the wood.,Cinnamomum_glanduliferum_Wall._Meissn..jpg
Cinnamomum glausescens (Nees) Hand.-Mazz.,LAURACEAE,Rohu (Beng.),"The bark of the plant is used for stones in gall bladder, urinary complaints and as masticatory.",Cinnamomum_glausescens_Nees_Hand.-Mazz..jpg
Cinnamomum impressinervium Meissn.,LAURACEAE,Tejiya (Assamese),The bark are used as  adulterant of true cinnamon.,Cinnamomum_impressinervium_Meissn..jpg
Cinnamomum macrocarpum Hook.f.,LAURACEAE,Tejapatra (Sans.),An essential oil is prepared from root-bark  which is utilized in rheumatism.,Cinnamomum_macrocarpum_Hook.f..jpg
Cinnamomum obtusifolium (Roxb.) Nees,LAURACEAE,"Kinton, Ram tezpat (Beng.)",In dyspepsia and liver complaints root-bark  are being employed.,Cinnamomum_obtusifolium_Roxb._Nees.jpg
Cinnamomum pauciflorum Nees,LAURACEAE,Dinglatterdop (Khasi Hills),"As a cardiotonic, stomachic, and antiseptic the bark is utilized.",Cinnamomum_pauciflorum_Nees.jpg
Cinnamomum tamala (Buch.-Ham.) T.Nees & C.H.Eberm.,LAURACEAE,Tejpatra,The leaves is having carminative properties. It is also employed in colic and diarrhoea.,Cinnamomum_tamala_Buch.-Ham._T.Nees_&_C.H.Eberm..jpg
Cinnamomum verum J.Presl.,LAURACEAE,Dalchini,"The plant possess the qualities such as astringent, stimulant and carminative and it helps in nausea.",Cinnamomum_verum_J.Presl..jpg
Cinnamomum camphora (L.) Sieb.,LAURACEAE,"Kapur, Karpur","The plant is having stimulant, diaphoretic, anthelmintic, antiseptic, and anodyne properties. For external applications to counter-irritant in muscular strains, inflammations, and rheumatic conditions the camphor is extensively used. Camphor is considered as  analeptic in cardiac depressions and is used in myocarditis. The plant is having calmative effect in hysteria and nervousness.",Cinnamomum_camphora_L._Sieb..jpg
Cirsium arvense (L.) Scop.,ASTERACEAE,Creeping Thistle (Eng.),"Considered as emetic, tonic and diaphoretic, contains an inodorous, bitter glycoside, possessing emetic and emmenagogue properties.",Cirsium_arvense_L._Scop..jpg
Cissampelos pareira L.,MENISPERMACEAE,Akanadi,"Root is diuretic, antiperiodic and purgative; it is used in dyspepsia, dropsy, and urinary troubles. It contains an alkaloid pelosine.",Cissampelos_pareira_L..jpg
Cissus adnata Roxb.,VITACEAE,Nadena (Mar.),The dried tubers decoction are diuretic and depurative. The roots are powdered and heated and applied to cuts and fractures,Cissus_adnata_Roxb..jpg
Cissus pallida (Wight & Arn.) Planch.,VITACEAE,Kondage (Kan.),The roots are applied for rheumatic swellings.,Cissus_pallida_Wight_&_Arn._Planch..jpg
Cissus quadrangularis L.,VITACEAE,"Hadjora, Harsankari",The juice is given in scurvy. For fractures powdered root are very beneficial.,Cissus_quadrangularis_L..jpg
Cissus repens Lam.,VITACEAE,Nelaboddu (Tel.),The plant is employed in itch and skin problems.,Cissus_repens_Lam..jpg
Cistanche tabulosa (Schrenk) Wight,OROBANCHACEAE,Pilo agio (Gujrati),Used for diarhhoea treatment.,Cistanche_tabulosa_Schrenk_Wight.jpg
Citrullus colocynthis (L.) Schrad.,CUCURBITACEAE,"Indrayan, Makal","Fruit pulp, colocynth, a drastic hydragogue cathartic, contains citrullin, which was believed to be a glycoside, but is now known to be a mixture of an alkaloid and citrullol. Roots purgative, used in ascites, jaundice, rheumatism, and urinary troubles.",Citrullus_colocynthis_L._Schrad..jpg
Citrus aurantifolia (Christm.) Swingle,RUTACEAE,Kaghzi-nimbu,Medicines prepared from the plant is used in Diarrhea and lose motion.,Citrus_aurantifolia_Christm._Swingle.jpg
Citrus aurantium L.,RUTACEAE,Khatta,"The unriped fruit is laxative, strengthining, cardiotonic, laxative, anthelmintic; removes fatigue. The flower is stimulant ; smell of flower relieves cold. Flower dection is good for feaver; Juce is tonic, diuretic, useful in piles, enlargement of spleen. The fruit is used for tonic for liver, relives vomiting and retching, removes biliousness.",Citrus_aurantium_L..jpg
Citrus grandis (L.) Osbeck.,RUTACEAE,"Chakotra, Mahanimbu",N/A,No Image
Citrus medica L.,RUTACEAE,"Bara nimbu, Bijaura","The root is anthelmentic; used in constipation and in tumours. Useful in vomiting, abdominal complaints, asthma, cough.",Citrus_medica_L..jpg
Citrus sinensis (L.) Osbeck.,RUTACEAE,"Musambi, Narangi","Leaves are used in epilepsy, chorea, and convulsive coughs.",Citrus_sinensis_L._Osbeck..jpg
Claoxylon indicum Hassk.,EUPHORBIACEAE,Laping Budak (Malay),Leaf is used for poultice and act as purgative.,Claoxylon_indicum_Hassk..jpg
Clausena excavata Burm.f.,RUTACEAE,Cemamar,"Roots, flowers, and leaf infusion is used for colic.",Clausena_excavata_Burm.f..jpg
Clausena pentaphylla (Roxb.) DC.,RUTACEAE,Ratanjote,Bark is used in veterinary medicine for wounds and sprains.,Clausena_pentaphylla_Roxb._DC..jpg
Cleistanthus collinus (Roxb.) Benth. ex Hook.f.,EUPHORBIACEAE,Garari,Leaves are abortifacient.,Cleistanthus_collinus_Roxb._Benth._ex_Hook.f..jpg
Clematis gauriana Roxb. ex DC.,RANUNCULACEAE,Telejadari (Kan.),Used in treating eczema and eye infections,Clematis_gauriana_Roxb._ex_DC..jpg
Clematis smilacifolia Wall.,RANUNCULACEAE,Gurraputige (Tel.),Decoction of root is used against courbature.,Clematis_smilacifolia_Wall..jpg
Clematis triloba B.Heyne ex Roth,RANUNCULACEAE,Murhari,Used in treating leprosy.,Clematis_triloba_B.Heyne_ex_Roth.jpg
Cleome chelidoni L.,CAPPARACEAE,Gulabi Tilwan (Local names),The infusion of the plant is utilized in skin problems and gingivitis.,Cleome_chelidoni_L..jpg
Cleome gynandra (L.) L.,CAPPARACEAE,"Hulul, Churota",The herb is used as stimulant and sudorific.,Cleome_gynandra_L._L..jpg
Cleome monophylla L.,CAPPARACEAE,Velakkeerai (Local name),Leaves are used as vegetables.,Cleome_monophylla_L..jpg
Cleome vahliana Fresen.,CAPPARACEAE,Panwar (Urdu),"Leaves are used in leucoderma. The plant is used for inflammations, rheumatism and scabies.",Cleome_vahliana_Fresen..jpg
Cleome viscosa L.,CAPPARACEAE,"Hulhul, Hurhur","Leaves of the plant are considered as rubefacient, sudorific and vesciant. In chronic painful joints poultice of seeds is very effective. For condiment, carminative, and anthelmintic seeds are used.",Cleome_viscosa_L..jpg
Clerodendrum inerme (L.f.) Gaertn.,VERBENACEAE,"Lanjai, Sangkupi",Leaves are used as febrifuge. Poultice of leaves are used to resolve buboes.,Clerodendrum_inerme_L.f._Gaertn..jpg
Clerodendrum multiflorum (Burm.f.) Kuntze,VERBENACEAE,Arni,Roots are astingent. Decoction is used as demulcent in gonorrhea.,Clerodendrum_multiflorum_Burm.f._Kuntze.jpg
Clerodendrum philippenum Schauer,VERBENACEAE,Satabeli (Beng.),Root is used to treat bodyache and headache.,Clerodendrum_philippenum_Schauer.jpg
Clerodendrum serratum (L.) Moon,VERBENACEAE,"Barangi, Bamanhati (Beng.)","Root is used in treatment of rheumatism,dyspepsia. Seeds are used in treating dropsy.Leaves are used as febrifuge and applied externally for cepharlagia and opthalmia.",Clerodendrum_serratum_L._Moon.jpg
Clerodendrum viscosum Vent.,VERBENACEAE,Bhant,"Leaves are used as bitter tonic, vermifuge,laxative and cholagogue. 
 Fresh leaf juice is introduced into rectum for removal of ascarids. Leaves and roots
 are used in external applications for tumours.",Clerodendrum_viscosum_Vent..jpg
Clinopodium vulgare L.,LAMIACEAE,Cushion Calamint (Eng.),"It is astringent, carminative and cardiac tonic.",Clinopodium_vulgare_L..jpg
Clitoria ternatia L.,FABACEAE,Aparajit,The roots of the plant has powerful cathartic and diuretic properties.,Clitoria_ternatia_L..jpg
Cocccinia grandis (L.) Voigt.,CUCURBITACEAE,"Bhimb, Telakucha (Beng.)","Root is cooling, aphrodisiac, stops vomiting.",Cocccinia_grandis_L._Voigt..jpg
Coccoloba uvifera L.,POLYGONACEAE,Sea grape (Eng.),Bark extract yields Jamaica Kino which is  used as an astringent.,Coccoloba_uvifera_L..jpg
Cocculus hirsutus (L.) Diels,MENISPERMACEAE,Jamtikibel,"Leaf juce used as a refrigerant, also used to cure eczema, prurigo, and impetigo. Roots used as laxative and demulcent,used in treatment of bilious rheumatism, dyspepsia and stomach-ache in children.",Cocculus_hirsutus_L._Diels.jpg
Cocculus laurifolius DC.,MENISPERMACEAE,Laurel-Leaved Snail Tree (Eng.),Leaves and bark contain coclaurine.,Cocculus_laurifolius_DC..jpg
Cocculus pendulus (J.R.Forst. & G.Forst.) Diels,MENISPERMACEAE,Illarbillar (Punjab),Rcrots used as tonic and  febrifuge.,Cocculus_pendulus_J.R.Forst._&_G.Forst._Diels.jpg
Cochlospermum religiosum (L.) Alston,COCHLOSPERMACEAE,"Kumbi, Galgal","The plant yields a gum which can be substitute for Tragacanth and is employed in cough, hoarse throat and scalding in the urine. in diarrhoea and dysentery it is mixed with curds or whey and is consider to be of great benefit . For the  cooling wash of the hair young leaves are used.",Cochlospermum_religiosum_L._Alston.jpg
Cocos nucifera L.,ARECACEAE,Nariyal,"Tender fruit's water use as cooling, thirst, fever, urinary
disorders, gastroenteritis, and as a source of K for cholera patients. Fruit stomachic, laxative, diuretic, styptic, sedative; useful in dyspepsia
and burning sensation. Oil antiseptic used in alopecia. Root used in urinary and uterine and disorders.",Cocos_nucifera_L..jpg
Codiaeum variegatum Blume,EUPHORBIACEAE,Patabahari (Beng.),Pounded leaves are applied to abdomen of children suffering from urinary trouble.,Codiaeum_variegatum_Blume.jpg
Codonopsis ovata Benth.,CAMPANULACEAE,Kashmir Bonnet Bellflower (Eng.),Roots and leaves are made into poultice and applied to ulcers and wounds.,Codonopsis_ovata_Benth..jpg
Coffea arabica L.,RUBIACEAE,Arabian coffee (Eng.),"Dried ripe seeds are used as a stimulant, nervine and diuretic. Caffeine content 1.0-1.2%.",Coffea_arabica_L..jpg
Coix lacryma-jobi L.,POACEAE,Sankru,"Leaves used as a drink for inducing fertility in women. Fruit decoction is for catarrhal infections of the air passage and inflammation
of the urinary tract. Seed diuretic. Root used in menstrual
disorders.",Coix_lacryma-jobi_L..jpg
Colchicum luteum Baker,LILIACEAE,"Suranjana (Guj., Hind. & Mar.)","Chiefly used in rheumatism, gout, etc",Colchicum_luteum_Baker.jpg
Coldenia procumbens L.,BORAGINACEAE,Tripungki,Pounded leaves applied to rheumatic swellings.,Coldenia_procumbens_L..jpg
Colebrookea oppositifolia Sm.,LAMIACEAE,"Binda, Pansra",Leaves are applied to wounds and bruises. Root is used in epilepsy and liver disorder.,Colebrookea_oppositifolia_Sm..jpg
Coleus amboinicus Lour.,LAMIACEAE,Pathorchur,"It is used in treating urinary diseases. Decotion of leaves are used to cure chronic cough 
and asthma.",Coleus_amboinicus_Lour..jpg
Coleus scutallarioides (L.) Benth.,LAMIACEAE,Coleus (Eng.),Decoction of leaves are used in dyspepsia.,Coleus_scutallarioides_L._Benth..jpg
Colocasia esculenta (L.) Schott,ARACEAE,"Arvi, Ghuiya","Roots used in diabetes and
piles.",Colocasia_esculenta_L._Schott.jpg
Combretum nanum Buch.-Ham. ex D.Don,COMBRETACEAE,Bhuidaudi (Local name),"Plant is used in Spleen enlargement, cholera and stomach disease.",Combretum_nanum_Buch.-Ham._ex_D.Don.jpg
Combretum pilosum Roxb.,COMBRETACEAE,"Bhoree loth, Thoonia loth",Leaves have anthelmintic property and considered specific for Ascaris lambricoides and Oxyuris vermicularis.,Combretum_pilosum_Roxb..jpg
Combretum roxburghii Spreng.,COMBRETACEAE,Punk,Leaves have febrifuge property.,Combretum_roxburghii_Spreng..jpg
Commelina benghalensis L.,COMMELINACEAE,Kanchara,"Demulcent, refrigerant and used as laxative.",Commelina_benghalensis_L..jpg
Commelina longifolia Lam.,COMMELINACEAE,Jalpipari,Used in dysentery and insanity.,Commelina_longifolia_Lam..jpg
Commelina paludosa Blume,COMMELINACEAE,Patugia (Local name),"Used as an antidote to snake-poison. Useful in vertigo, fever and bilious infections.",Commelina_paludosa_Blume.jpg
Conium maculatum L.,APIACEAE,Poison Hemlock (Eng.),"Root posses a neutral bitter principle.it contains cicutoxin, a spasmodic with high toxicity to the central nervous system.",Conium_maculatum_L..jpg
Connarus monocarpus L.,CONNARACEAE,Sunder (Mar.),Bark and wood find use in the treatment of ulcers. Pulp of the fruit used in eye troubles. Seeds yield a fatty oil. Roots yield an oil applied to swellings.,Connarus_monocarpus_L..jpg
Consolida ambigua (L.) Ball. & Heywood,RANUNCULACEAE,Rocket Larkspur (Eng.),Tincture of seeds used for destroying lice.,Consolida_ambigua_L._Ball._&_Heywood.jpg
Convolvulus arvensis L.,CONVOLVULACEAE,"Beri, Haranpadi",Roots are cathartic.,Convolvulus_arvensis_L..jpg
Convolvulus auricomus (A.Rich.) Bhandari,CONVOLVULACEAE,Runchhaliveldi (Guj.),Used as a purgative,Convolvulus_auricomus_A.Rich._Bhandari.jpg
Convolvulus microphyllus Sieb.ex Spreng.,CONVOLVULACEAE,"Shankhapushpi, Dodak (Punjab)",Yields a medicinaL alkaloid.,Convolvulus_microphyllus_Sieb.ex_Spreng..jpg
Coptis teeta Wall.,RANUNCULACEAE,"Mamira, Mamiran","Rhizome has tonic and stomachic properties, and is used for treating debility and atonic dyspepsia.",Coptis_teeta_Wall..jpg
Corchorus aestuans L.,TILIACEAE,Titapat (Beng.),The seeds of the plant are used as stomachic.,Corchorus_aestuans_L..jpg
Corchorus capsularis L.,TILIACEAE,Narcha,With the diet the leaves of the plant are taken and is consider to be a good source of tonic.,Corchorus_capsularis_L..jpg
Corchorus depressus (L.) Stocks,TILIACEAE,Baphuli,The leaves of the plant is used as emollient. The seeds of the plant is employed as tonic.,Corchorus_depressus_L._Stocks.jpg
Corchorus fascicularis L.,TILIACEAE,Bhirupatrika (Sans.),The plant is having astringent and restorative properties.,Corchorus_fascicularis_L..jpg
Corchorus olitorius L.,TILIACEAE,Mithapat (Beng.),The Infusion of leaves is used as tonic and febrifuge; also it is being employed as demulcent in cystitis and dysuria.,Corchorus_olitorius_L..jpg
Corchorus trilocularis L.,TILIACEAE,Kadu-chinch (Local name),Seeds are very beneficial in fevers.,Corchorus_trilocularis_L..jpg
Cordia dichotoma Forst.,BORAGINACEAE,"Lasora, Chota lasora","It has astringent, anthelmintic, diuretic, and expectorant properties, and is used in treatment of
chest and urinary diseases.",Cordia_dichotoma_Forst..jpg
Cordia gharaf (Forst.) Ehrenb. ex Aschers.,BORAGINACEAE,Gondni,Bark has medicinal properties and is chewed.,Cordia_gharaf_Forst._Ehrenb._ex_Aschers..jpg
Cordia myxa Roxb.,BORAGINACEAE,"Lasora, Chota lasora","It has astringent, anthelmintic, diuretic, and expectorant properties, and is used in treatment of
chest and urinary diseases.",Cordia_myxa_Roxb..jpg
Cordia myxa Roxb. (non L.),BORAGINACEAE,"Lasora, Chota lasora","It has astringent, anthelmintic, diuretic, and expectorant properties, and is used in treatment of
chest and urinary diseases.",Cordia_myxa_Roxb._non_L..jpg
Cordia obliqua Willd.,BORAGINACEAE,"Lasora, Chota lasora","It has astringent, anthelmintic, diuretic, and expectorant properties, and is used in treatment of
chest and urinary diseases.",Cordia_obliqua_Willd..jpg
Cordia vestita (DC) Hook.f. & Thomson,BORAGINACEAE,"Kumpaiman, Bairola","Fruit has  demulcent, expectorant, and astringent properties.",Cordia_vestita_DC_Hook.f._&_Thomson.jpg
Coriandrum sativum L.,APIACEAE,"Dhania, Dhanya","Fruits are used as a diuretic, carminative and tonic; produces an essential oil called Coriander Oil.",Coriandrum_sativum_L..jpg
Coriaria nepalensis Wall.,CORIARIACEAE,"Masuri, Makola",Leaves are act as a poison in large doses. The fruit is said to produce symptoms like tetanus.,Coriaria_nepalensis_Wall..jpg
Corydalis govaniana Wall.,FUMARIACEAE,Bhutkis,"The root of the plant is used as diuretic and tonic, it is recommended for cutaneous infections, scrofulous and syphilitic.",Corydalis_govaniana_Wall..jpg
Corydalis vaginans Royle,FUMARIACEAE,Mamiran (Kurra Valley),The plant is used for eye ailments.,Corydalis_vaginans_Royle.jpg
Corylus jacquemontii Decne.,BETULACEAE,Thangi (Punjab),Seeds are used as tonic.,Corylus_jacquemontii_Decne..jpg
Coscinium fenestratum (Gaertn.) Colebr.,MENISPERMACEAE,"Jhar-i-huldi, Haldigachi",Root is used as tonic and stomachic.,Coscinium_fenestratum_Gaertn._Colebr..jpg
Cosmostigma racemosum (Roxb.) Wight,ASCLEPIADACEAE,Shendvel (Mar.),Root bark is cholagogue and used in treating dyspepsia.,Cosmostigma_racemosum_Roxb._Wight.jpg
Costus speciosus (Koen. ex Retz.),ZINGIBERACEAE,"Keu, Kemuka",Root used as a tonic and anthelmintic.,Costus_speciosus_Koen._ex_Retz..jpg
Cotinus coggygria Scop.,ANACARDIACEAE,Tunga (Punjab),"Young twigs contain an aromatic
oil.",Cotinus_coggygria_Scop..jpg
Cotoneaster bacillaris Wall. ex. Lindl.,ROSACEAE,Ri (Punjab),The stolons are used as an astrigent in Indo-china.,Cotoneaster_bacillaris_Wall._ex._Lindl..jpg
Cotoneaster microphylla Wall. ex. Lindl.,ROSACEAE,Khariz (Kashmir),Stolons are used as an astringent.,Cotoneaster_microphylla_Wall._ex._Lindl..jpg
Cotula anthemoides L.,ASTERACEAE,Babuna (Eng.),Decoction is used for treating flu andcolds. Also used as an eye-wash.,Cotula_anthemoides_L..jpg
Crataeva nurvula Buch-Ham.,CAPPARACEAE,"Barna, Bilasi","The bark extract used for promoting appetite and as laxative, it stimulates liver. In calculus and other urinary infections the bark extract is also given. Root-bark are rubefacient.  The flowers of the plant  are used as astringent, cholagogue.",Crataeva_nurvula_Buch-Ham..jpg
Cratoxylum cochinchinense (Lour.) Blume,HYPERICACEAE,Derum Selunchor,"In case of colic the decoction of bark is given, and the resin from the bark used for itch.",Cratoxylum_cochinchinense_Lour._Blume.jpg
Crescentia cujute L.,BIGNONIACEAE,Bilayati Bel,Bark decoction is used as a vulnerary.,Crescentia_cujute_L..jpg
Cressa cretica L.,CONVOLVULACEAE,Rudravanti,"It has tonic, aphrodisiac, and stomachic properties.",Cressa_cretica_L..jpg
Crinum asiaticum L.,AMARYLLIDACEAE,"Badakanvar, Pindar","Bulbs used in biliousness, and in strangury and other urinary troubles.",Crinum_asiaticum_L..jpg
Crinum defixum Ker.-Gawl.,AMARYLLIDACEAE,Sukdarshan (Beng.),"Bulbs diaphoretic and emollient, used for burns, whitlow, and carbuncles.",Crinum_defixum_Ker.-Gawl..jpg
Crinum latifolium L.,AMARYLLIDACEAE,Sukhdarshan ( Beng.),Leaf-juice in ear-ache. Bulbs used in rheumatism.,Crinum_latifolium_L..jpg
Crocus sativus L.,IRIDACEAE,"Kesar, Zafran","Flowers considered stimulant and stomachic, used as a sedative, emmenagogue,
and abortifacient; also given to
promote eruptions in measles and other exanthematous diseases.",Crocus_sativus_L..jpg
Crotalaria albida B.Heyne ex Roth.,FABACEAE,Ban-methi,The roots of the plant is used as purgative.,Crotalaria_albida_B.Heyne_ex_Roth..jpg
Crotalaria burhia Buch.-Ham ex Benth.,FABACEAE,Ghagari (Mar.),The branches and leaves of the plant is used as a cooling medicine.,Crotalaria_burhia_Buch.-Ham_ex_Benth..jpg
Crotalaria juncea L.,FABACEAE,Sannai Sunn,The bitter leaves are used internally and externally in the form of infusion in gastric and bilious fevers accompanied by skin diseases such as impetigo and psoriasis.It is also used to increase the flow of menses as emmenagogue. The blood is purified by using seeds. The mixture of seeds powder with oil  is used to grow hair. In colic and as astringent in epistaxis root is useful.,Crotalaria_juncea_L..jpg
Crotalaria laburnifolia L.,FABACEAE,Muna,The infusion of the plant is used as a gargle.,Crotalaria_laburnifolia_L..jpg
Crotalaria pallida Aiton,FABACEAE,"Sen, San",The roots of the plant is used in swelling on joints. The leaves are employed in vermifuge.,Crotalaria_pallida_Aiton.jpg
Crotalaria prostrata Rottl. ex Willd.,FABACEAE,"Vishnukarni, Chotojhunjhuni (Beng.)",The plant is used in derangements of the stomach.,Crotalaria_prostrata_Rottl._ex_Willd..jpg
Crotalaria retusa L.,FABACEAE,Ghunghunian,The plant is used in scabies and impetigo.,Crotalaria_retusa_L..jpg
Crotalaria sericea Retz.,FABACEAE,Jhunjhunia,The plant is used in scabies and impetigo.,Crotalaria_sericea_Retz..jpg
Croton bonplandianum Baill.,EUPHORBIACEAE,Kukka mirapa,Latex is used in treating cuts and wounds.,Croton_bonplandianum_Baill..jpg
Croton caudatus Geisel.,EUPHORBIACEAE,Nanbhantur (Beng.),"Concotion of roots are used to relieve constipation. Leaves are used as poultice to 
treat sprains.",Croton_caudatus_Geisel..jpg
Croton oblongifolius Roxb.,EUPHORBIACEAE,Chucka,"The plant is used treat bite of dog or jackal, cholera, epilepsy, scabies. Leaf is used to treat boils, 
sprain. Root and bark is used to treat constipation, diarrhoea, dysentery, vomiting, rheumatism and other stomach disorders. Latex is used to treat ringworm.",Croton_oblongifolius_Roxb..jpg
Croton tiglium L.,EUPHORBIACEAE,Jamalgota,Seeds and its oil is purgative.,Croton_tiglium_L..jpg
Cryptocarya wightiana Thwaites,LAURACEAE,Neela Vriksha (Sans.),The leaves of the plant is crushed and boiled in oil and are applied in elephantiasis.,Cryptocarya_wightiana_Thwaites.jpg
